Nr,TID,PID,x [pixel],y [pixel],t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],? [deg],?? [deg]
105,1,105,721.333,512,0,0.3,4894.304,72.541,NA,60.163,NA,-12.804,-19.263
106,1,106,758.667,485.333,0,3.7,4940.183,85.5,NA,45.879,NA,-35.538,-22.733
107,1,107,786.667,452,0,7.1,4983.716,120.812,NA,43.533,NA,-49.97,-14.432
108,1,108,804,413.333,0,6.1,5026.09,162.338,NA,42.374,NA,-65.854,-15.885
109,1,109,809.333,374.667,0,22.8,5065.123,201.174,NA,39.033,NA,-82.147,-16.292
110,1,110,806.667,333.333,0,22.1,5106.542,241.138,NA,41.419,NA,-93.691,-11.545
111,1,111,784,288,0,0.3,5157.226,283.373,NA,50.684,NA,-116.565,-22.874
112,1,112,752,248,0,7.1,5208.451,322.89,NA,51.225,NA,-128.66,-12.095
113,1,113,708,221.333,0,2.1,5259.901,353.793,NA,51.45,NA,-148.782,-20.122
114,1,114,665.333,208,0,0.7,5304.603,375.849,NA,44.701,NA,-162.646,-13.864
115,1,115,626.667,213.333,0,5.1,5343.635,382.815,NA,39.033,NA,172.147,-25.207
116,1,116,596,226.667,0,7,5377.075,382.832,NA,33.44,NA,156.501,-15.645
117,1,117,568,248,0,6.8,5412.276,377.531,NA,35.201,NA,142.696,-13.805
118,1,118,538.667,277.333,0,7.1,5453.76,369.891,NA,41.484,NA,135,-7.696
119,1,119,521.333,306.667,0,9.1,5487.832,358.585,NA,34.072,NA,120.579,-14.421
120,1,120,513.333,341.333,0,11.1,5523.409,339.746,NA,35.578,NA,102.995,-17.585
121,1,121,513.333,373.333,0,11.1,5555.409,319.021,NA,32,NA,90,-12.995
122,1,122,526.667,410.667,0,14.7,5595.052,286.229,NA,39.643,NA,70.346,-19.654
123,1,123,534.667,445.333,0,12.2,5630.63,261.347,NA,35.578,NA,77.005,6.659
124,1,124,572,480,0,10.7,5681.577,212.331,NA,50.947,NA,42.879,-34.126
125,1,125,618.667,501.333,0,8,5732.888,161.024,NA,51.312,NA,24.567,-18.312
126,1,126,661.333,506.667,0,1,5775.887,120.981,NA,42.999,NA,7.125,-17.442
127,1,127,706.667,493.333,0,18,5823.14,96.268,NA,47.253,NA,-16.39,-23.515
128,1,128,742.667,474.667,0,18.1,5863.692,98.342,NA,40.552,NA,-27.408,-11.018
129,1,129,773.333,440,0,7.9,5909.976,131,NA,46.284,NA,-48.504,-21.096
130,1,130,792,392,0,0,5961.478,180.847,NA,51.502,NA,-68.749,-20.246
131,1,131,793.333,333.333,0,0.3,6020.16,239.139,NA,58.682,NA,-88.698,-19.949
132,1,132,774.667,278.667,0,4.1,6077.926,292.195,NA,57.766,NA,-108.853,-20.155
133,1,133,741.333,246.667,0,19.1,6124.133,324.792,NA,46.207,NA,-136.169,-27.316
134,1,134,700,224,0,6.9,6171.274,352.525,NA,47.14,NA,-151.26,-15.091
135,1,135,654.667,218.667,0,13.1,6216.92,368.589,NA,45.646,NA,-173.29,-22.03
136,1,136,592,234.667,0,5.7,6281.597,377.465,NA,64.677,NA,165.677,-21.033
137,1,137,548,285.333,0,12.8,6348.702,357.87,NA,67.105,NA,130.972,-34.706
138,1,138,526.667,325.333,0,18.1,6394.035,341.344,NA,45.333,NA,118.072,-12.899
139,1,139,524,366.667,0,14.1,6435.454,314.986,NA,41.419,NA,93.691,-24.381
140,1,140,542.667,409.333,0,14.1,6482.026,273.892,NA,46.571,NA,66.371,-27.321
141,1,141,564,437.333,0,8,6517.227,240.37,NA,35.201,NA,52.696,-13.675
142,1,142,600,462.667,0,9.3,6561.247,196.367,NA,44.02,NA,35.134,-17.562
143,1,143,673.333,469.333,0,1.7,6634.883,135.974,NA,73.636,NA,5.194,-29.94
144,1,144,709.333,456,0,2.7,6673.272,127.031,NA,38.39,NA,-20.323,-25.518
145,1,145,740,428,0,1,6714.799,144.671,NA,41.526,NA,-42.397,-22.074
146,1,146,764,392,0,25.7,6758.066,178.667,NA,43.267,NA,-56.31,-13.912
147,1,147,764,346.667,0,10.7,6803.399,224,NA,45.333,NA,-90,-33.69
148,1,148,748,301.333,0,15.1,6851.473,269.808,NA,48.074,NA,-109.44,-19.44
149,1,149,714.667,270.667,0,12.1,6896.767,304.029,NA,45.294,NA,-137.386,-27.946
150,1,150,677.333,253.333,0,2.1,6937.928,328.955,NA,41.161,NA,-155.095,-17.709
151,1,151,640,248,0,10.1,6975.64,345.673,NA,37.712,NA,-171.87,-16.775
152,1,152,594.667,269.333,0,9,7025.742,345.652,NA,50.102,NA,154.799,-33.331
153,1,153,558.667,320,0,19.1,7087.896,324.03,NA,62.154,NA,125.395,-29.404
154,1,154,557.333,360,0,10.1,7127.919,295.113,NA,40.022,NA,91.909,-33.486
155,1,155,566.667,401.333,0,13.8,7170.293,260.027,NA,42.374,NA,77.276,-14.634
156,1,156,601.333,428,0,6.8,7214.029,216.366,NA,43.737,NA,37.569,-39.707
157,1,157,664,448,0,7.7,7279.81,158.263,NA,65.781,NA,17.7,-19.868
158,1,158,702.667,437.333,0,0.3,7319.921,146.764,NA,40.111,NA,-15.422,-33.123
159,1,159,733.333,405.333,0,5.1,7364.243,168.153,NA,44.322,NA,-46.219,-30.797
160,1,160,748,360,0,14.1,7411.89,211.273,NA,47.647,NA,-72.072,-25.853
161,1,161,737.333,320,0,14.9,7453.288,252.081,NA,41.398,NA,-104.931,-32.859
162,1,162,708,282.667,0,13.1,7500.766,293.394,NA,47.479,NA,-128.157,-23.226
163,1,163,656,274.667,0,14.1,7553.378,315.087,NA,52.612,NA,-171.254,-43.097
164,1,164,617.333,285.333,0,12.1,7593.489,320.821,NA,40.111,NA,164.578,-24.168
165,1,165,588,320,0,15.1,7638.901,306.284,NA,45.412,NA,130.236,-34.341
