Nr,TID,PID,x,y,t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],? [deg],?? [deg],x [pixel],y [pixel]
237,2,83,43.25203252,20.59617886,,13,4368.213,175.687,NA,43.594,NA,156.571,-31.754,532,253.333
238,2,84,40.54203252,22.76422764,,1,4410.9,133.313,NA,42.687,NA,141.34,-15.231,498.667,280
239,2,85,38.80756098,26.4498374,,4,4461.002,96.046,NA,50.102,NA,115.201,-26.139,477.333,325.333
240,2,86,38.26560976,30.24390244,,2,4508.143,89.928,NA,47.14,NA,98.13,-17.071,470.667,372
241,2,87,39.56642276,34.14634146,,4,4558.739,125.397,NA,50.596,NA,71.565,-26.565,486.667,420
242,2,88,41.51764228,36.74796748,,252,4598.739,163.892,NA,40,NA,53.13,-18.435,510.667,452
243,2,89,45.31162602,38.37398374,,6,4649.511,213.121,NA,50.772,NA,23.199,-29.932,557.333,472
244,2,90,49.53926829,38.04878049,,13,4701.665,255.294,NA,52.154,NA,-4.399,-27.597,609.333,468
245,2,91,53.33333333,35.77235772,,9,4756.087,287.138,NA,54.422,NA,-30.964,-26.565,656,440
246,2,92,55.17617886,32.41195122,,13,4803.227,298.991,NA,47.14,NA,-61.26,-30.296,678.667,398.667
247,2,93,55.06772358,27.75065041,,8,4860.576,293.409,NA,57.349,NA,-91.332,-30.072,677.333,341.333
248,2,94,52.8997561,24.17341463,,8,4912.026,271.437,NA,51.45,NA,-121.218,-29.886,650.667,297.333
249,2,95,48.56365854,22.22219512,,7,4970.511,226.023,NA,58.485,NA,-155.772,-34.554,597.333,273.333
250,2,96,44.01081301,22.98105691,,10,5027.283,170.359,NA,56.772,NA,170.538,-33.69,541.333,282.667
251,2,97,41.62601626,27.31707317,,108,5088.151,128.561,NA,60.868,NA,118.811,-51.727,512,336
252,2,98,41.84284553,33.27910569,,145,5161.533,144.345,NA,73.382,NA,87.917,-30.893,514.667,409.333
253,2,99,45.09487805,35.44715447,,11,5209.607,192.019,NA,48.074,NA,33.69,-54.227,554.667,436
254,2,100,48.7804878,35.2303252,,10,5255.019,232.245,NA,45.412,NA,-3.366,-37.057,600,433.333
255,2,101,51.59894309,32.95390244,,21,5299.581,257.14,NA,44.562,NA,-38.928,-35.561,634.667,405.333
256,2,102,52.46609756,29.59349593,,10,5342.268,261.823,NA,42.687,NA,-75.53,-36.602,645.333,364
257,2,103,50.73170732,25.47422764,,19,5397.243,242.491,NA,54.975,NA,-112.834,-37.304,624,313.333
258,2,104,46.39569106,24.28186992,,9,5452.556,193.076,NA,55.313,NA,-164.624,-51.79,570.667,298.667
259,2,105,43.25203252,27.1002439,,62,5504.488,148.725,NA,51.932,NA,138.122,-57.254,532,333.333
260,2,106,43.68560976,31.97829268,,8,5564.724,159.894,NA,60.237,NA,84.92,-53.202,537.333,393.333
261,2,107,46.82926829,33.49593496,,19,5607.661,202.386,NA,42.937,NA,25.769,-59.151,576,412
262,2,108,49.21406504,31.54471545,,14,5645.561,224.919,NA,37.9,NA,-39.289,-65.059,605.333,388
263,2,109,49.75609756,28.61788618,,6,5682.173,228.035,NA,36.612,NA,-79.509,-40.219,612,352
264,2,110,47.26284553,26.34146341,,17,5723.7,198.787,NA,41.526,NA,-137.603,-58.094,581.333,324
265,2,111,43.3604065,28.5095122,,8,5778.61,149.357,NA,54.91,NA,150.945,-71.452,533.333,350.667
266,2,112,44.22764228,31.97829268,,18,5822.59,166.298,NA,43.98,NA,75.964,-74.982,544,393.333
267,2,113,47.26284553,32.84552846,,10,5861.417,205.125,NA,38.827,NA,15.945,-60.018,581.333,404
268,2,114,49.43089431,29.48512195,,13,5910.606,224.48,NA,49.189,NA,-57.171,-73.117,608,362.667
269,2,115,47.91325203,25.47422764,,24,5963.353,208.239,NA,52.747,NA,-110.726,-53.554,589.333,313.333
270,2,116,44.55284553,27.20869919,,92,6009.867,164.541,NA,46.514,NA,152.7,-96.574,548,334.667
271,2,117,43.79406504,29.91869919,,2,6044.482,155.954,NA,34.615,NA,105.642,-47.058,538.667,368
272,2,118,45.4200813,32.19512195,,24,6078.891,181.142,NA,34.409,NA,54.462,-51.18,558.667,396
273,2,119,48.88886179,30.67747967,,11,6125.463,219.304,NA,46.571,NA,-23.629,-78.092,601.333,377.333
274,2,120,48.1300813,26.99186992,,22,6171.747,208.614,NA,46.284,NA,-101.634,-78.004,592,332
275,2,121,44.22764228,28.5095122,,70,6223.249,160.022,NA,51.502,NA,158.749,-99.617,544,350.667
276,2,122,44.11926829,31.11113821,,15,6255.277,162.41,NA,32.028,NA,92.386,-66.364,542.667,382.667
277,2,123,48.1300813,31.8699187,,18,6305.485,212.603,NA,50.208,NA,10.713,-81.673,592,392
278,2,124,48.7804878,28.72626016,,44,6344.971,216.066,NA,39.486,NA,-78.311,-89.024,600,353.333
279,2,125,46.82926829,26.12463415,,19,6384.971,193.843,NA,40,NA,-126.87,-48.559,576,321.333
280,2,126,44.66121951,27.1002439,,126,6414.213,165.983,NA,29.242,NA,155.772,-77.358,549.333,333.333
281,2,127,44.22764228,31.2195122,,6,6465.159,164,NA,50.947,NA,96.009,-59.763,544,384
282,2,128,47.04609756,32.41195122,,17,6502.801,201.152,NA,37.642,NA,22.932,-73.077,578.667,398.667
283,2,129,48.99731707,29.26829268,,39,6548.31,218.996,NA,45.509,NA,-58.173,-81.105,602.667,360
284,2,130,48.1300813,26.4498374,,14,6584.581,209.231,NA,36.271,NA,-107.103,-48.93,592,325.333
285,2,131,45.09487805,26.99186992,,127,6622.505,171.415,NA,37.924,NA,169.875,-83.022,554.667,332
286,2,132,44.01081301,29.59349593,,2,6657.172,158.145,NA,34.667,NA,112.62,-57.255,541.333,364
287,2,133,45.74528455,32.19512195,,17,6695.631,185.002,NA,38.459,NA,56.31,-56.31,562.667,396
288,2,134,48.1300813,32.41195122,,17,6725.085,214.082,NA,29.454,NA,5.194,-51.116,592,398.667
